Fortune  Rank,Company Name,Ticker Symbol,Fortune Rank,Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
254,First Data,FDC,242,"$12,052 ",4.00%,"$1,465.00 ",248.80%,"$48,269 ","$14,865 ","22,000",Frank J. Bisignano,Chairman & Chief Executive Officer,Business Services,Financial Data Services,New York City,http://www.firstdata.com,24,http://fortune.com/fortune500/first-data/
255,Consolidated Edison,ED,234,"$12,033 ",-0.30%,"$1,525.00 ",22.50%,"$48,111 ","$24,192 ","15,591",John McAvoy,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,New York City,http://www.conedison.com,24,http://fortune.com/fortune500/consolidated-edison/
256,Parker-Hannifin,PH,251,"$12,029 ",5.90%,$983.40 ,21.90%,"$15,490 ","$22,755 ","56,690",Thomas L. Williams,Chairman & Chief Executive Officer,Industrials,Industrial Machinery,Cleveland,http://www.parker.com,24,http://fortune.com/fortune500/parker-hannifin/
257,Anadarko Petroleum,APC,344,"$11,908 ",51.30%,($456.00),,"$42,086 ","$31,131 ","4,400",R. A. Walker,"Chairman, President & Chief Executive Officer",Energy,"Mining, Crude-Oil Production","The Woodlands, Texas",http://www.anadarko.com,18,http://fortune.com/fortune500/anadarko-petroleum/
258,Estee Lauder,EL,253,"$11,824 ",5.00%,"$1,249.00 ",12.10%,"$11,568 ","$55,064 ","46,000",Fabrizio Freda,"President, Chief Executive Officer & Director",Household Products,Household and Personal Products,New York City,http://www.elcompanies.com,23,http://fortune.com/fortune500/estee-lauder/
259,State Street Corp.,STT,271,"$11,774 ",10.70%,"$2,177.00 ",1.60%,"$238,425 ","$36,688 ","36,643",Joseph L. Hooley,Chairman & Chief Executive Officer,Financials,Commercial Banks,Boston,http://www.statestreet.com,23,http://fortune.com/fortune500/state-street-corp/
260,Tesla,TSLA,383,"$11,759 ",68.00%,"($1,961.40)",,"$28,655 ","$44,955 ","37,543",Elon Musk,Chairman & Chief Executive Officer,Motor Vehicles & Parts,Motor Vehicles and Parts,"Palo Alto, Calif.",http://www.tesla.com,2,http://fortune.com/fortune500/tesla/
261,Netflix,NFLX,314,"$11,693 ",32.40%,$558.90 ,199.40%,"$19,013 ","$128,167 ","5,100",Reed Hastings,"Chairman, President & Chief Executive Officer",Technology,Internet Services and Retailing,"Los Gatos, Calif.",http://www.netflix.com,4,http://fortune.com/fortune500/netflix/
262,Alcoa,AA,300,"$11,652 ",25.00%,$217.00 ,,"$17,447 ","$8,372 ","14,600",Roy C. Harvey,"President, Chief Executive Officer & Director",Materials,Metals,Pittsburgh,http://www.alcoa.com,2,http://fortune.com/fortune500/alcoa/
263,Discover Financial Services,DFS,277,"$11,545 ",10.00%,"$2,099.00 ",-12.30%,"$100,087 ","$25,431 ","16,500",David W. Nelms,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Riverwoods, Ill.",http://www.discover.com,10,http://fortune.com/fortune500/discover-financial-services/
