Fortune  Rank,Company Name,Ticker Symbol,Fortune Rank,Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
483,First American Financial,FAF,464,"$5,772 ",3.50%,$423.00 ,23.30%,"$9,573 ","$6,511 ","18,705",Dennis J. Gilmore,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),"Santa Ana, Calif.",http://www.firstam.com,4,http://fortune.com/fortune500/first-american-financial/
484,Cincinnati Financial,CINF,476,"$5,732 ",5.20%,"$1,045.00 ",76.90%,"$21,843 ","$12,185 ","4,925",Steven J. Johnston,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),"Fairfield, Ohio",http://www.cinfin.com,4,http://fortune.com/fortune500/cincinnati-financial/
485,Avon Products,AVP,444,"$5,716 ",-2.30%,$22.00 ,,"$3,698 ","$1,251 ","25,000",Jan Zijderveld,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,"Rye, N.Y.",http://www.avoninvestor.com,24,http://fortune.com/fortune500/avon-products/
486,Northern Trust,NTRS,501,"$5,716 ",11.10%,"$1,199.00 ",16.10%,"$138,591 ","$23,264 ","18,100",Michael G. O'Grady,"President, Chief Executive Officer & Director",Financials,Commercial Banks,Chicago,http://www.northerntrust.com,7,http://fortune.com/fortune500/northern-trust/
487,Fiserv,FISV,471,"$5,696 ",3.50%,"$1,246.00 ",34.00%,"$10,289 ","$29,466 ","24,000",Jeffery W. Yabuki,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Brookfield, Wis.",http://www.fiserv.com,8,http://fortune.com/fortune500/fiserv/
488,Harley-Davidson,HOG,435,"$5,647 ",-5.80%,$521.80 ,-24.60%,"$9,973 ","$7,198 ","5,800",Matthew S. Levatich,"President, Chief Executive Officer & Director",Transportation,Transportation Equipment,Milwaukee,http://www.harley-davidson.com,17,http://fortune.com/fortune500/harley-davidson/
489,Cheniere Energy,LNG,,"$5,601 ",336.50%,($393.00),,"$27,906 ","$12,703 ","1,230",Jack A. Fusco,"President, Chief Executive Officer & Director",Energy,Energy,Houston,http://www.cheniere.com,1,http://fortune.com/fortune500/cheniere-energy/
490,Patterson,PDCO,466,"$5,593 ",0.70%,$170.90 ,-8.70%,"$3,508 ","$2,104 ","7,500",Mark S. Walchirk,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Health Care,"St. Paul, Minn.",http://www.pattersoncompanies.com,2,http://fortune.com/fortune500/patterson/
491,Peabody Energy,BTU,533,"$5,579 ",18.30%,-,,"$8,181 ","$4,649 ","7,100",Glenn L. Kellow,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",St. Louis,http://www.peabodyenergy.com,13,http://fortune.com/fortune500/peabody-energy/
492,ON Semiconductor,ON,598,"$5,543 ",41.90%,$810.70 ,345.20%,"$7,195 ","$10,406 ","34,000",Keith D. Jackson,"President, Chief Executive Officer & Director",Technology,Semiconductors and Other Electronic Components,Phoenix,http://www.onsemi.com,1,http://fortune.com/fortune500/on-semiconductor/
493,Simon Property Group,SPG,477,"$5,539 ",1.90%,"$1,948.00 ",5.90%,"$32,258 ","$47,861 ","4,150",David E. Simon,Chairman & Chief Executive Officer,Financials,Real estate,Indianapolis,http://www.simon.com,5,http://fortune.com/fortune500/simon-property-group/
494,Western Union,WU,478,"$5,524 ",1.90%,($557.10),-320.00%,"$9,231 ","$8,857 ","11,500",Hikmet Ersek,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Englewood, Colo.",http://www.westernunion.com,12,http://fortune.com/fortune500/western-union/
495,NetApp,NTAP,468,"$5,519 ",-0.50%,$509.00 ,122.30%,"$9,493 ","$16,528 ","10,100",George Kurian,"President, Chief Executive Officer & Director",Technology,"Computers, Office Equipment","Sunnyvale, Calif.",http://www.netapp.com,7,http://fortune.com/fortune500/netapp/
496,Polaris Industries,PII,537,"$5,505 ",19.80%,$172.50 ,-19.00%,"$3,090 ","$7,224 ","11,000",Scott W. Wine,Chairman & Chief Executive Officer,Transportation,Transportation Equipment,"Medina, Minn.",http://www.polaris.com,1,http://fortune.com/fortune500/polaris-industries/
497,Pioneer Natural Resources,PXD,606,"$5,455 ",42.70%,$833.00 ,,"$17,003 ","$29,254 ","3,836",Timothy L. Dove,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production","Irving, Texas",http://www.pxd.com,2,http://fortune.com/fortune500/pioneer-natural-resources/
498,ABM Industries,ABM,500,"$5,454 ",6.00%,$3.80 ,-93.40%,"$3,813 ","$2,200 ","140,000",Scott B. Salmirs,"President, Chief Executive Officer & Director",Business Services,Diversified Outsourcing Services,New York City,http://www.abm.com,3,http://fortune.com/fortune500/abm-industries/
499,Vistra Energy,VST,499,"$5,430 ",5.20%,($254.00),,"$14,600 ","$8,925 ","4,150",Curtis A. Morgan,"President, Chief Executive Officer & Director",Energy,Energy,"Irving, Texas",http://www.vistraenergy.com,2,http://fortune.com/fortune500/vistra-energy/
500,Cintas,CTAS,520,"$5,429 ",10.70%,$480.70 ,-30.70%,"$6,844 ","$18,165 ","42,000",Scott D. Farmer,Chairman & Chief Executive Officer,Business Services,Diversified Outsourcing Services,Cincinnati,http://www.cintas.com,1,http://fortune.com/fortune500/cintas/
,,,,,,,,,,,,,,,,,,
,Download the complete Fortune 1000 list to see all 1000 companies,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,https://www.databahn.com/products/2018-fortune-1000-list-free-excel-spreadsheet-list-download,,,,,,,,,,,,,,,,,
